....................
KOD,NAME,SHORT_NAME
006,МЕТР,М
055,КВАДРАТНЫЙ МЕТР,М2
111,КУБИЧЕСКИЙ САНТИМЕТР,СМ3
112,ЛИТР,Л
113,КУБИЧЕСКИЙ МЕТР,М3
114,1000 КУБИЧЕСКИХ МЕТРОВ,1000 М3
130,1000 ЛИТРОВ,1000 Л
162,МЕТРИЧЕСКИЙ КАРАТ(1КАРАТ=2*10(-4)КГ,КАР
163,ГРАММ,Г
166,КИЛОГРАММ,КГ
168,"ТОННА, МЕТРИЧЕСКАЯ ТОННА (1000 КГ)",Т
185,ГРУЗОПОДЪЕМНОСТЬ В ТОННАХ,Т ГРП
214,КИЛОВАТТ,КВТ
246,1000 КИЛОВАТТ-ЧАС,1000 КВТ*Ч
251,ЛОШАДИНАЯ СИЛА,Л.С.
305,КЮРИ,КИ
306,ГРАММ ДЕЛЯЩИХСЯ ИЗОТОПОВ,Г Д/И
715,ПАРА,ПАР
796,ШТУКА,ШТ
797,СТО ШТУК,100 ШТ
798,ТЫСЯЧА ШТУК,1000 ШТ
831,ЛИТР ЧИСТОГО (100%) СПИРТА,Л 100% СПИРТА
841,КИЛОГРАММ ПЕРОКСИДА ВОДОРОДА,КГ H2O2
845,КИЛОГРАММ 90 %-ГО СУХОГО ВЕЩЕСТВА,КГ 90% С/В
852,КИЛОГРАММ ОКСИДА КАЛИЯ,КГ K2O
859,КИЛОГРАММ ГИДРОКСИДА КАЛИЯ,КГ KOH
861,КИЛОГРАММ АЗОТА,КГ N
863,КИЛОГРАММ ГИДРОКСИДА НАТРИЯ,КГ NAOH
865,КИЛОГРАММ ПЯТИОКИСИ ФОСФОРА,КГ P2O5
867,КИЛОГРАММ УРАНА,КГ U

