....................
KOD,NAME
AB,АБХАЗИЯ
AD,АНДОРРА
AE,ОБЪЕДИНЕННЫЕ АРАБСКИЕ ЭМИРАТЫ
AF,АФГАНИСТАН
AG,АНТИГУА И БАРБУДА
AI,АНГИЛЬЯ
AL,АЛБАНИЯ
AM,АРМЕНИЯ
AO,АНГОЛА
AQ,АНТАРКТИДА
AR,АРГЕНТИНА
AS,АМЕРИКАНСКОЕ САМОА
AT,АВСТРИЯ
AU,АВСТРАЛИЯ
AW,АРУБА
AX,ЭЛАНДСКИЕ ОСТРОВА
AZ,АЗЕРБАЙДЖАН
BA,БОСНИЯ И ГЕРЦЕГОВИНА
BB,БАРБАДОС
BD,БАНГЛАДЕШ
BE,БЕЛЬГИЯ
BF,БУРКИНА-ФАСО
BG,БОЛГАРИЯ
BH,БАХРЕЙН
BI,БУРУНДИ
BJ,БЕНИН
BL,СЕН-БАРТЕЛЕМИ
BM,БЕРМУДЫ
BN,БРУНЕЙ-ДАРУССАЛАМ
BO,"БОЛИВИЯ, МНОГОНАЦИОНАЛ. ГОСУДАРСТВО"
BQ,"БОНЭЙР,СИНТ-ЭСТАТИУС И САБА"
BR,БРАЗИЛИЯ
BS,БАГАМЫ
BT,БУТАН
BV,ОСТРОВ БУВЕ
BW,БОТСВАНА
BY,БЕЛАРУСЬ
BZ,БЕЛИЗ
CA,КАНАДА
CC,КОКОСОВЫЕ (КИЛИНГ) ОСТРОВА
CD,"КОНГО, ДЕМОКРАТИЧЕСКАЯ РЕСПУБЛИКА"
CF,ЦЕНТРАЛЬНО-АФРИКАНСКАЯ РЕСПУБЛИКА
CG,КОНГО
CH,ШВЕЙЦАРИЯ
CI,КОТ Д'ИВУАР
CK,ОСТРОВА КУКА
CL,ЧИЛИ
CM,КАМЕРУН
CN,КИТАЙ
CO,КОЛУМБИЯ
CR,КОСТА-РИКА
CU,КУБА
CV,КАБО-ВЕРДЕ
CW,КЮРАСАО
CX,ОСТРОВ РОЖДЕСТВА
CY,КИПР
CZ,ЧЕШСКАЯ РЕСПУБЛИКА
DE,ГЕРМАНИЯ
DJ,ДЖИБУТИ
DK,ДАНИЯ
DM,ДОМИНИКА
DO,ДОМИНИКАНСКАЯ РЕСПУБЛИКА
DZ,АЛЖИР
EC,ЭКВАДОР
EE,ЭСТОНИЯ
EG,ЕГИПЕТ
EH,ЗАПАДНАЯ САХАРА
ER,ЭРИТРЕЯ
ES,ИСПАНИЯ
ET,ЭФИОПИЯ
EU,СТРАНЫ ЕС
FI,ФИНЛЯНДИЯ
FJ,ФИДЖИ
FK,ФОЛКЛЕНДСКИЕ ОСТРОВА (МАЛЬВИНСКИЕ)
