....................
OKATO_2,OKATO_2_N
01000,01000 - АЛТАЙСКИЙ КРАЙ
03000,03000 - КРАСНОДАРСКИЙ КРАЙ
04000,04000 - КРАСНОЯРСКИЙ КРАЙ
04100,04100 - ТАЙМЫРСКИЙ (ДОЛГАНО-НЕНЕЦКИЙ) АВТОНОМНЫЙ ОКРУГ (КРАСНОЯРСКИЙ КРАЙ)
04130,04130 - ЭВЕНКИЙСКИЙ АВТОНОМНЫЙ ОКРУГ (КРАСНОЯРСКИЙ КРАЙ)
05000,05000 - ПРИМОРСКИЙ КРАЙ
07000,07000 - СТАВРОПОЛЬСКИЙ КРАЙ
08000,08000 - ХАБАРОВСКИЙ КРАЙ
10000,10000 - АМУРСКАЯ ОБЛАСТЬ
11000,11000 - АРХАНГЕЛЬСКАЯ ОБЛАСТЬ
11100,11100 - НЕНЕЦКИЙ АВТОНОМНЫЙ ОКРУГ (АРХАНГЕЛЬСКАЯ ОБЛАСТЬ)
12000,12000 - АСТРАХАНСКАЯ ОБЛАСТЬ
14000,14000 - БЕЛГОРОДСКАЯ ОБЛАСТЬ
15000,15000 - БРЯНСКАЯ ОБЛАСТЬ
17000,17000 - ВЛАДИМИРСКАЯ ОБЛАСТЬ
18000,18000 - ВОЛГОГРАДСКАЯ ОБЛАСТЬ
19000,19000 - ВОЛОГОДСКАЯ ОБЛАСТЬ
20000,20000 - ВОРОНЕЖСКАЯ ОБЛАСТЬ
22000,22000 - НИЖЕГОРОДСКАЯ ОБЛАСТЬ
24000,24000 - ИВАНОВСКАЯ ОБЛАСТЬ
25000,25000 - ИРКУТСКАЯ ОБЛАСТЬ
25100,25100 - УСТЬ-ОРДЫНСКИЙ БУРЯТСКИЙ АВТОНОМНЫЙ ОКРУГ (ИРКУТСКАЯ ОБЛАСТЬ)
26000,26000 - РЕСПУБЛИКА ИНГУШЕТИЯ
27000,27000 - КАЛИНИНГРАДСКАЯ ОБЛАСТЬ
28000,28000 - ТВЕРСКАЯ ОБЛАСТЬ
29000,29000 - КАЛУЖСКАЯ ОБЛАСТЬ
30000,30000 - КАМЧАТСКИЙ КРАЙ
30100,30100 - КОРЯКСКИЙ АВТОНОМНЫЙ ОКРУГ (КАМЧАТСКАЯ ОБЛАСТЬ)
32000,32000 - КЕМЕРОВСКАЯ ОБЛАСТЬ
33000,33000 - КИРОВСКАЯ ОБЛАСТЬ
34000,34000 - КОСТРОМСКАЯ ОБЛАСТЬ
35000,35000 - РЕСПУБЛИКА КРЫМ
36000,36000 - САМАРСКАЯ ОБЛАСТЬ
37000,37000 - КУРГАНСКАЯ ОБЛАСТЬ
38000,38000 - КУРСКАЯ ОБЛАСТЬ
40000,40000 - ГОРОД САНКТ-ПЕТЕРБУРГ ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ
41000,41000 - ЛЕНИНГРАДСКАЯ ОБЛАСТЬ
42000,42000 - ЛИПЕЦКАЯ ОБЛАСТЬ
44000,44000 - МАГАДАНСКАЯ ОБЛАСТЬ
45000,45000 - ГОРОД МОСКВА СТОЛИЦА РОССИЙСКОЙ ФЕДЕРАЦИИ ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ
46000,46000 - МОСКОВСКАЯ ОБЛАСТЬ
47000,47000 - МУРМАНСКАЯ ОБЛАСТЬ
49000,49000 - НОВГОРОДСКАЯ ОБЛАСТЬ
50000,50000 - НОВОСИБИРСКАЯ ОБЛАСТЬ
52000,52000 - ОМСКАЯ ОБЛАСТЬ
53000,53000 - ОРЕНБУРГСКАЯ ОБЛАСТЬ
54000,54000 - ОРЛОВСКАЯ ОБЛАСТЬ
56000,56000 - ПЕНЗЕНСКАЯ ОБЛАСТЬ
57000,57000 - ПЕРМСКИЙ КРАЙ
57100,57100 - КОМИ-ПЕРМЯТСКИЙ АВТОНОМНЫЙ ОКРУГ (ПЕРМСКИЙ КРАЙ)
58000,58000 - ПСКОВСКАЯ ОБЛАСТЬ
60000,60000 - РОСТОВСКАЯ ОБЛАСТЬ
61000,61000 - РЯЗАНСКАЯ ОБЛАСТЬ
63000,63000 - САРАТОВСКАЯ ОБЛАСТЬ
64000,64000 - САХАЛИНСКАЯ ОБЛАСТЬ
65000,65000 - СВЕРДЛОВСКАЯ ОБЛАСТЬ
66000,66000 - СМОЛЕНСКАЯ ОБЛАСТЬ
67000,67000 - СЕВАСТОПОЛЬ - ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ
68000,68000 - ТАМБОВСКАЯ ОБЛАСТЬ
69000,69000 - ТОМСКАЯ ОБЛАСТЬ
70000,70000 - ТУЛЬСКАЯ ОБЛАСТЬ
71000,71000 - ТЮМЕНСКАЯ ОБЛАСТЬ
71100,71100 - ХАНТЫ-МАНСИЙСКИЙ АВТОНОМНЫЙ ОКРУГ (ТЮМЕНСКАЯ ОБЛАСТЬ)
71140,71140 - ЯМАЛО-НЕНЕЦКИЙ АВТОНОМНЫЙ ОКРУГ (ТЮМЕНСКАЯ ОБЛАСТЬ)
73000,73000 - УЛЬЯНОВСКАЯ ОБЛАСТЬ
75000,75000 - ЧЕЛЯБИНСКАЯ ОБЛАСТЬ
76000,76000 - ЗАБАЙКАЛЬСКИЙ КРАЙ
76100,76100 - АГИНСКИЙ БУРЯТСКИЙ АВТОНОМНЫЙ ОКРУГ (ЧИТИНСКАЯ ОБЛАСТЬ)
77000,77000 - ЧУКОТСКИЙ АВТОНОМНЫЙ ОКРУГ
78000,78000 - ЯРОСЛАВСКАЯ ОБЛАСТЬ
79000,79000 - РЕСПУБЛИКА АДЫГЕЯ (АДЫГЕЯ)
80000,80000 - РЕСПУБЛИКА БАШКОРТОСТАН
81000,81000 - РЕСПУБЛИКА БУРЯТИЯ
82000,82000 - РЕСПУБЛИКА ДАГЕСТАН
83000,83000 - КАБАРДИНО-БАЛКАРСКАЯ РЕСПУБЛИКА
84000,84000 - РЕСПУБЛИКА АЛТАЙ
85000,85000 - РЕСПУБЛИКА КАЛМЫКИЯ
86000,86000 - РЕСПУБЛИКА КАРЕЛИЯ
87000,87000 - РЕСПУБЛИКА КОМИ
88000,88000 - РЕСПУБЛИКА МАРИЙ ЭЛ
89000,89000 - РЕСПУБЛИКА МОРДОВИЯ
90000,90000 - РЕСПУБЛИКА СЕВЕРНАЯ ОСЕТИЯ-АЛАНИЯ
91000,91000 - КАРАЧАЕВО-ЧЕРКЕССКАЯ РЕСПУБЛИКА
92000,92000 - РЕСПУБЛИКА ТАТАРСТАН (ТАТАРСТАН)
93000,93000 - РЕСПУБЛИКА ТЫВА
94000,94000 - УДМУРТСКАЯ РЕСПУБЛИКА
95000,95000 - РЕСПУБЛИКА ХАКАСИЯ
96000,96000 - ЧЕЧЕНСКАЯ РЕСПУБЛИКА
97000,97000 - ЧУВАШСКАЯ РЕСПУБЛИКА - ЧУВАШИЯ
98000,98000 - РЕСПУБЛИКА САХА (ЯКУТИЯ)
99000,99000 - ЕВРЕЙСКАЯ АВТОНОМНАЯ ОБЛАСТЬ
NNNNN,NNNNN - НЕИЗВЕСТНАЯ АДМ.-ТЕРРИТОРИАЛЬНАЯ ЕДИНИЦА

