NAPR,PERIOD,STRANA,TNVED,EDIZM,STOIM,NETTO,KOL,REGION,REGION_S
ЭК,2014,KZ,2207,Л,32.58,4,4,80000 - РЕСПУБЛИКА БАШКОРТОСТАН,04-ПРИВОЛЖСКИЙ ФЕДЕРАЛЬНЫЙ ОКРУГ
ЭК,2016,IQ,2207,Л,113628.49,114000,143651.7,90000 - РЕСПУБЛИКА СЕВЕРНАЯ ОСЕТИЯ-АЛАНИЯ,08-СЕВЕРО-КАВКАЗСКИЙ ФЕДЕРАЛЬНЫЙ ОКРУГ
ИМ,2013,KZ,2207,Л,7369.11,2404.77,3000,65000 - СВЕРДЛОВСКАЯ ОБЛАСТЬ,05-УРАЛЬСКИЙ ФЕДЕРАЛЬНЫЙ ОКРУГ
ЭК,2014,LT,2207,Л,1014426.62,1414841,1788465,36000 - САМАРСКАЯ ОБЛАСТЬ,04-ПРИВОЛЖСКИЙ ФЕДЕРАЛЬНЫЙ ОКРУГ
ЭК,2015,AB,2207,Л,54507.35,65630,80587.1,89000 - РЕСПУБЛИКА МОРДОВИЯ,04-ПРИВОЛЖСКИЙ ФЕДЕРАЛЬНЫЙ ОКРУГ
ЭК,2016,GE,2207,Л,1598900.55,1863112,2355825.4,38000 - КУРСКАЯ ОБЛАСТЬ,01-ЦЕНТРАЛЬНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ
ЭК,2015,TM,2207,Л,4559202.9,3462331,4322818.4,83000 - КАБАРДИНО-БАЛКАРСКАЯ РЕСПУБЛИКА,08-СЕВЕРО-КАВКАЗСКИЙ ФЕДЕРАЛЬНЫЙ ОКРУГ
ЭК,2013,GE,2207,Л,306426.85,405648,449556,70000 - ТУЛЬСКАЯ ОБЛАСТЬ,01-ЦЕНТРАЛЬНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ
ИМ,2014,DE,2207,Л,4562.21,128,100,29000 - КАЛУЖСКАЯ ОБЛАСТЬ,01-ЦЕНТРАЛЬНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ
ЭК,2015,UA,2207,Л,68934.26,60159.6,34830.5,60000 - РОСТОВСКАЯ ОБЛАСТЬ,03-ЮЖНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ
ЭК,2014,AM,2207,Л,399493.32,386365,476924.5,68000 - ТАМБОВСКАЯ ОБЛАСТЬ,01-ЦЕНТРАЛЬНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ
ЭК,2014,AZ,2207,Л,74460.98,103266.9,62700,73000 - УЛЬЯНОВСКАЯ ОБЛАСТЬ,04-ПРИВОЛЖСКИЙ ФЕДЕРАЛЬНЫЙ ОКРУГ
ИМ,2016,CH,2207,Л,13685.81,1852.2,2302.79,40000 - ГОРОД САНКТ-ПЕТЕРБУРГ ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,02-СЕВЕРО-ЗАПАДНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ
ИМ,2014,DE,2207,Л,30.51,0.87,1,22000 - НИЖЕГОРОДСКАЯ ОБЛАСТЬ,04-ПРИВОЛЖСКИЙ ФЕДЕРАЛЬНЫЙ ОКРУГ
ЭК,2014,CZ,2207,Л,25189.23,18481,23422.7,38000 - КУРСКАЯ ОБЛАСТЬ,01-ЦЕНТРАЛЬНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ
ЭК,2016,NL,2207,Л,1621721.96,2963944,3680573.4,83000 - КАБАРДИНО-БАЛКАРСКАЯ РЕСПУБЛИКА,08-СЕВЕРО-КАВКАЗСКИЙ ФЕДЕРАЛЬНЫЙ ОКРУГ
ЭК,2013,VN,2207,Л,122.12,2.54,1.8,92000 - РЕСПУБЛИКА ТАТАРСТАН (ТАТАРСТАН),04-ПРИВОЛЖСКИЙ ФЕДЕРАЛЬНЫЙ ОКРУГ
ИМ,2015,BY,2207,Л,3.65,1.5,1.5,66000 - СМОЛЕНСКАЯ ОБЛАСТЬ,01-ЦЕНТРАЛЬНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ
ЭК,2013,FI,2207,Л,35867661.66,46553007,58939711.2,36000 - САМАРСКАЯ ОБЛАСТЬ,04-ПРИВОЛЖСКИЙ ФЕДЕРАЛЬНЫЙ ОКРУГ
ИМ,2016,US,2207,Л,118.29,1.23,4.15,45000 - ГОРОД МОСКВА СТОЛИЦА РОССИЙСКОЙ ФЕДЕРАЦИИ ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,01-ЦЕНТРАЛЬНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ
ЭК,2014,TR,2207,Л,2319476.15,2760370,3425611,83000 - КАБАРДИНО-БАЛКАРСКАЯ РЕСПУБЛИКА,08-СЕВЕРО-КАВКАЗСКИЙ ФЕДЕРАЛЬНЫЙ ОКРУГ
ЭК,2015,TM,2207,Л,488417.53,578947,715607.8,68000 - ТАМБОВСКАЯ ОБЛАСТЬ,01-ЦЕНТРАЛЬНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ
ИМ,2016,CZ,2207,Л,496.68,64.56,60,36000 - САМАРСКАЯ ОБЛАСТЬ,04-ПРИВОЛЖСКИЙ ФЕДЕРАЛЬНЫЙ ОКРУГ
ЭК,2014,TM,2207,Л,5176968.24,3604618,4454087.6,83000 - КАБАРДИНО-БАЛКАРСКАЯ РЕСПУБЛИКА,08-СЕВЕРО-КАВКАЗСКИЙ ФЕДЕРАЛЬНЫЙ ОКРУГ
ЭК,2014,AB,2207,Л,22320.59,15780,19190.5,90000 - РЕСПУБЛИКА СЕВЕРНАЯ ОСЕТИЯ-АЛАНИЯ,08-СЕВЕРО-КАВКАЗСКИЙ ФЕДЕРАЛЬНЫЙ ОКРУГ
ЭК,2016,KZ,2207,Л,604.77,1400,1400,92000 - РЕСПУБЛИКА ТАТАРСТАН (ТАТАРСТАН),04-ПРИВОЛЖСКИЙ ФЕДЕРАЛЬНЫЙ ОКРУГ
ЭК,2016,NG,2207,Л,654564.35,1030810,1281464,83000 - КАБАРДИНО-БАЛКАРСКАЯ РЕСПУБЛИКА,08-СЕВЕРО-КАВКАЗСКИЙ ФЕДЕРАЛЬНЫЙ ОКРУГ
ЭК,2016,TR,2207,Л,1939253.63,3372615,4276921.2,36000 - САМАРСКАЯ ОБЛАСТЬ,04-ПРИВОЛЖСКИЙ ФЕДЕРАЛЬНЫЙ ОКРУГ
ЭК,2014,AM,2207,Л,378793.96,322847,409185.2,38000 - КУРСКАЯ ОБЛАСТЬ,01-ЦЕНТРАЛЬНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ
ИМ,2016,DE,2207,Л,39359.47,4266,5400,46000 - МОСКОВСКАЯ ОБЛАСТЬ,01-ЦЕНТРАЛЬНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ
ЭК,2013,AM,2207,Л,519508.86,451036,555874.5,68000 - ТАМБОВСКАЯ ОБЛАСТЬ,01-ЦЕНТРАЛЬНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ
ЭК,2014,UA,2207,Л,47305.47,59499,75301.8,36000 - САМАРСКАЯ ОБЛАСТЬ,04-ПРИВОЛЖСКИЙ ФЕДЕРАЛЬНЫЙ ОКРУГ
ЭК,2016,FI,2207,Л,5077231.61,10293770,13095961.5,36000 - САМАРСКАЯ ОБЛАСТЬ,04-ПРИВОЛЖСКИЙ ФЕДЕРАЛЬНЫЙ ОКРУГ
ИМ,2013,DE,2207,Л,1276.91,3.95,5,45000 - ГОРОД МОСКВА СТОЛИЦА РОССИЙСКОЙ ФЕДЕРАЦИИ ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,01-ЦЕНТРАЛЬНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ
ЭК,2014,BR,2207,Л,13604.37,108.6,108.6,45000 - ГОРОД МОСКВА СТОЛИЦА РОССИЙСКОЙ ФЕДЕРАЦИИ ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,01-ЦЕНТРАЛЬНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ
ЭК,2016,TM,2207,Л,291034.36,324426,397650,68000 - ТАМБОВСКАЯ ОБЛАСТЬ,01-ЦЕНТРАЛЬНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ
ИМ,2016,ES,2207,Л,24011.17,1580,2000,40000 - ГОРОД САНКТ-ПЕТЕРБУРГ ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,02-СЕВЕРО-ЗАПАДНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ
ЭК,2014,IN,2207,Л,78916.86,1721.84,1777.63,45000 - ГОРОД МОСКВА СТОЛИЦА РОССИЙСКОЙ ФЕДЕРАЦИИ ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,01-ЦЕНТРАЛЬНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ
ЭК,2016,AB,2207,Л,35538.46,39853.26,48998.4,83000 - КАБАРДИНО-БАЛКАРСКАЯ РЕСПУБЛИКА,08-СЕВЕРО-КАВКАЗСКИЙ ФЕДЕРАЛЬНЫЙ ОКРУГ
ЭК,2015,FI,2207,Л,18685203.03,34512827,43703656.3,36000 - САМАРСКАЯ ОБЛАСТЬ,04-ПРИВОЛЖСКИЙ ФЕДЕРАЛЬНЫЙ ОКРУГ
ЭК,2014,CN,2207,Л,140330,73281,91163,33000 - КИРОВСКАЯ ОБЛАСТЬ,04-ПРИВОЛЖСКИЙ ФЕДЕРАЛЬНЫЙ ОКРУГ
ЭК,2013,LV,2207,Л,11191660.8,7681763,9494448.5,68000 - ТАМБОВСКАЯ ОБЛАСТЬ,01-ЦЕНТРАЛЬНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ
ЭК,2013,LT,2207,Л,653798.22,885465,1121248.2,36000 - САМАРСКАЯ ОБЛАСТЬ,04-ПРИВОЛЖСКИЙ ФЕДЕРАЛЬНЫЙ ОКРУГ
ЭК,2013,AB,2207,Л,176268.86,111920,134608.2,89000 - РЕСПУБЛИКА МОРДОВИЯ,04-ПРИВОЛЖСКИЙ ФЕДЕРАЛЬНЫЙ ОКРУГ
ЭК,2014,GE,2207,Л,96792.09,69825,88497,90000 - РЕСПУБЛИКА СЕВЕРНАЯ ОСЕТИЯ-АЛАНИЯ,08-СЕВЕРО-КАВКАЗСКИЙ ФЕДЕРАЛЬНЫЙ ОКРУГ
ЭК,2014,OS,2207,Л,12723.69,319182,393706.2,90000 - РЕСПУБЛИКА СЕВЕРНАЯ ОСЕТИЯ-АЛАНИЯ,08-СЕВЕРО-КАВКАЗСКИЙ ФЕДЕРАЛЬНЫЙ ОКРУГ
ЭК,2015,UA,2207,Л,964380.07,889240,1122000,70000 - ТУЛЬСКАЯ ОБЛАСТЬ,01-ЦЕНТРАЛЬНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ
ЭК,2014,VN,2207,Л,103110.5,48840,60775,33000 - КИРОВСКАЯ ОБЛАСТЬ,04-ПРИВОЛЖСКИЙ ФЕДЕРАЛЬНЫЙ ОКРУГ
ИМ,2015,KZ,2207,Л,93.72,1000,1000,46000 - МОСКОВСКАЯ ОБЛАСТЬ,01-ЦЕНТРАЛЬНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ
ЭК,2015,AZ,2207,Л,20887.13,60403,36300,36000 - САМАРСКАЯ ОБЛАСТЬ,04-ПРИВОЛЖСКИЙ ФЕДЕРАЛЬНЫЙ ОКРУГ
ЭК,2016,LV,2207,Л,302088.29,539110,680783.1,36000 - САМАРСКАЯ ОБЛАСТЬ,04-ПРИВОЛЖСКИЙ ФЕДЕРАЛЬНЫЙ ОКРУГ
ЭК,2015,IN,2207,Л,4045.73,64.22,73.48,45000 - ГОРОД МОСКВА СТОЛИЦА РОССИЙСКОЙ ФЕДЕРАЦИИ ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,01-ЦЕНТРАЛЬНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ
ЭК,2015,IN,2207,Л,511.92,9.6,12,33000 - КИРОВСКАЯ ОБЛАСТЬ,04-ПРИВОЛЖСКИЙ ФЕДЕРАЛЬНЫЙ ОКРУГ
ЭК,2014,VN,2207,Л,29904.5,18284,21988.6,92000 - РЕСПУБЛИКА ТАТАРСТАН (ТАТАРСТАН),04-ПРИВОЛЖСКИЙ ФЕДЕРАЛЬНЫЙ ОКРУГ
ЭК,2013,UA,2207,Л,52053.54,62265,78852.3,36000 - САМАРСКАЯ ОБЛАСТЬ,04-ПРИВОЛЖСКИЙ ФЕДЕРАЛЬНЫЙ ОКРУГ
ЭК,2014,GE,2207,Л,310982.59,295147,351575.59,38000 - КУРСКАЯ ОБЛАСТЬ,01-ЦЕНТРАЛЬНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ
ИМ,2014,ES,2207,Л,19159.85,2370,3000,17000 - ВЛАДИМИРСКАЯ ОБЛАСТЬ,01-ЦЕНТРАЛЬНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ
